"etiqueta","pregunta"
"folio","Folio"
"edo","Estado"
"version","Versión Cuestionario"
"incio","Hora de inicio de entrevista"
"b","B  Género"
"c","C ¿Qué edad tiene usted?"
"p1","1. En su opinión, ¿cuál es el principal problema que hay en el País hoy en día?"
"p2a","2. Por favor dígame cuáles considera que son los tres principales problemas que enfrenta el País 1 Mención"
"p2b","2. Por favor dígame cuáles considera que son los tres principales problemas que enfrenta el País 2 Mención"
"p2c","2. Por favor dígame cuáles considera que son los tres principales problemas que enfrenta el País 3 Mención"
"p4","4. En general, ¿usted aprueba o desaprueba la forma como Andrés Manuel López Obrador está haciendo su trabajo como Presidente de la República?"
"p5","5. Si hoy hubiera elecciones para decidir si Andrés Manuel López Obrador debe permanecer en el cargo o debe renunciar, ¿usted cómo votaría?"
"p6","6. ¿Por favor dígame la primera palabra que le viene a la mente cuando le menciono la palabra corrupción?"
"p7","7. ¿Y cuál sería la primera palabra que le viene a la mente cuando le menciono la palabra impunidad?"
"p8","8. ¿Cuál cree usted que es la principal causa de la corrupción en México?"
"p9","9. ¿Cree usted que en México la corrupción se justifica en ciertos casos o nunca se justifica?"
"p10a","10A. ¿Usted diría que se justifica Dar una mordida para evitar una detención injusta o no se justifica?"
"p10b","10B. ¿Usted diría que se justifica Dar una propina para acelerar un trámite (acta de nacimiento, permiso de construcción, conseguir lugar en una escuela) o no se justifica?"
"p10c","10C. ¿Usted diría que se justifica Pagar un soborno para evitar un trámite excesivamente largo o no se justifica?"
"p10d","10D. ¿Usted diría que se justifica Pagar para inscribir a alguien en algún programa social  o no se justifica?"
"p10e","10E. ¿Usted diría que se justifica Contratar a alguien de confianza para un puesto público aunque no tenga experiencia o no se justifica?"
"p11","11. ¿Y en dónde cree usted que se dan más actos de corrupción?"
"p12a","12a. En general, ¿cuánta corrupción cree usted que hay en Escuelas públicas?"
"p12b","12b. En general, ¿cuánta corrupción cree usted que hay en Ministerios públicos?"
"p12c","12c. En general, ¿cuánta corrupción cree usted que hay en Autoridades electorales?"
"p12d","12d. En general, ¿cuánta corrupción cree usted que hay en El ISSSTE ?"
"p12e","12e. En general, ¿cuánta corrupción cree usted que hay en La Policía Federal ?"
"p12f","12f. En general, ¿cuánta corrupción cree usted que hay en Los partidos políticos?"
"p12g","12g. En general, ¿cuánta corrupción cree usted que hay en Los medios de comunicación?"
"p12h","12h. En general, ¿cuánta corrupción cree usted que hay en El IMSS ?"
"p12i","12i. En general, ¿cuánta corrupción cree usted que hay en El Ejército?"
"p12j","12j. En general, ¿cuánta corrupción cree usted que hay en La Comisión Federal de Electricidad (CFE)?"
"p12k","12k. En general, ¿cuánta corrupción cree usted que hay en PEMEX?"
"p12l","12l. En general, ¿cuánta corrupción cree usted que hay en La policía de tránsito?"
"p12m","12m. En general, ¿cuánta corrupción cree usted que hay en La Suprema Corte de Justicia?"
"p12n","12n. En general, ¿cuánta corrupción cree usted que hay en La Marina?"
"p12o","12o. En general, ¿cuánta corrupción cree usted que hay en Entre los empresarios?"
"p12p","12p. En general, ¿cuánta corrupción cree usted que hay en Las cárceles y reclusorios?"
"p12q","12q. En general, ¿cuánta corrupción cree usted que hay en La Guardia Nacional ?"
"p13a","13a. ¿Usted diría que El Gobernador de su estado es honesto o es corrupto?"
"p13b","13b. ¿Usted diría que El Presidente de la República es honesto o es corrupto?"
"p13c","13c. ¿Usted diría que El Presidente Municipal es honesto o es corrupto?"
"p14","14. ¿Usted cree que en México se respetan las leyes.?"
"p15","15. ¿Usted cree que hoy en día los actos de corrupción en México se castigan.?"
"p16","16. ¿Con qué frecuencia cree que en México se lleven a cabo actos de corrupción?"
"p17","17. ¿Cree usted que en nuestro país denunciar un acto de corrupción sirve o es inútil?"
"p18","18. ¿Usted sabe en dónde denunciar un acto de corrupción?"
"p19","19. En los últimos 12 meses, ¿cuántas de las siguientes actividades ha realizado? No necesito que me diga cuáles, únicamente cuántas."
"p20","20. En los últimos 12 meses, ¿para realizar algún trámite o recibir algún servicio o apoyo gratuito del gobierno le solicitaron una mordida, propina o un favor?"
"p21","21. ¿Cuántas veces tuvo usted que dar 'mordida', propina o hacer algún favor en el último año para realizar o acelerar un trámite o servicio?"
"p22","22. La última vez que sucedió esto, ¿cuánto pagó o a cuánto dinero equivaldría el favor solicitado?"
"p23","23. En el último año, ¿usted sabe o ha escuchado si la empresa o lugar donde trabaja ha tenido que dar alguna 'mordida' o soborno para agilizar, aprobar o evitar algún trámite o servicio?"
"p24","24. En los últimos 12 meses, ¿usted denunció algún acto de corrupción?"
"p25","25. ¿Tuvo algún resultado su denuncia?"
"p26","26. ¿Por qué no denunció?"
"p27","27. En los últimos 12 meses, ¿diría usted que la corrupción en México ha aumentado o ha disminuido?"
"p28","28. En los próximos 12 meses, ¿cree usted que la corrupción en el País aumentará o disminuirá?"
"p29a","29a. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para acelerar algún trámite de gobierno?"
"p29b","29b. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para ser atendido en una unidad de salud pública?"
"p29c","29c. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para afiliarlo a un programa social?"
"p29d","29d. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para obtener una plaza o puesto de trabajo?"
"p29e","29e. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para evitar una detención arbitraria ?"
"p29f","29f. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para poder establecer u operar un negocio?"
"p29g","29g. En los últimos 12 meses, ¿se enteró de algún familiar o conocido que haya tenido que dar una mordida o soborno Para evitar una multa?"
"p30","30. ¿Quién cree que es el principal responsable del combate a la corrupción?"
"p31","31. En general, ¿cómo calificaría la forma en que el Gobierno de Andrés Manuel López Obrador está combatiendo la corrupción?"
"p32","32. En el combate a la corrupción, ¿cree usted que el Gobierno de Andrés Manuel López Obrador.?"
"p33","33. ¿Cree usted que en México se puede acabar con la corrupción o no?"
"p34","34. Si México fuera un país sin corrupción, ¿cree que los ingresos de su hogar serían mayores o menores?"
"p35a","35a. ¿Qué tanto diría que el fenómeno de la corrupción lo afectan a usted y a su familia en los siguientes aspectos? a. Los servicios públicos que reciben"
"p35b","35b. ¿Qué tanto diría que el fenómeno de la corrupción lo afectan a usted y a su familia en los siguientes aspectos? b. Los trámites que suelen realizar"
"p35d","35d. ¿Qué tanto diría que el fenómeno de la corrupción lo afectan a usted y a su familia en los siguientes aspectos? d. La seguridad pública y protección de su familia"
"p35e","35e. ¿Qué tanto diría que el fenómeno de la corrupción lo afectan a usted y a su familia en los siguientes aspectos? e. Su calidad de vida en general"
"p36","36. ¿Cuál cree que sea el área o sector más afectado por la corrupción en México?"
"p37","37. ¿Con qué frase está usted más de acuerdo?"
"p38a","38a. Desde su punto de vista, ¿qué tanta responsabilidad tiene El Gobierno en el combate a la corrupción?"
"p38b","38b. Desde su punto de vista, ¿qué tanta responsabilidad tiene Los ciudadanos en el combate a la corrupción?"
"p38c","38c. Desde su punto de vista, ¿qué tanta responsabilidad tiene Los medios de comunicación en el combate a la corrupción?"
"p38d","38d. Desde su punto de vista, ¿qué tanta responsabilidad tiene Organizaciones de la sociedad civil en el combate a la corrupción?"
"p38e","38e. Desde su punto de vista, ¿qué tanta responsabilidad tiene Los empresarios en el combate a la corrupción?"
"p39a","39a. ¿Usted está de acuerdo o en desacuerdo con las siguientes frases? a. Si el Presidente es honesto, ya no habrá corrupción en el gobierno"
"p39b","39b. ¿Usted está de acuerdo o en desacuerdo con las siguientes frases? b. Los funcionarios públicos cumplirán con la ley si firman un compromiso de ética"
"p39c","39c. ¿Usted está de acuerdo o en desacuerdo con las siguientes frases? c. Las personas se comportarían correctamente si hubiera una Constitución Moral"
"p39d","39d. ¿Usted está de acuerdo o en desacuerdo con las siguientes frases? d. Castigar la corrupción con penas más severas ayudaría a reducirla"
"p40","40. ¿Cómo evaluaría el trabajo del Sistema Nacional Anticorrupción, diría que lo está haciendo muy bien, bien, mal o muy mal?"
"p41a","41a. ¿El Gobierno debe de perdonar o castigar actos de corrupción cometidos por Los expresidentes, como Enrique Peña y Felipe Calderón?"
"p41b","41b. ¿El Gobierno debe de perdonar o castigar actos de corrupción cometidos por Ex gobernadores, como Javier Duarte?"
"p41c","41c. ¿El Gobierno debe de perdonar o castigar actos de corrupción cometidos por Algunos ciudadanos?"
"p42","42. Independientemente de por quién haya votado en el pasado, ¿con cuál partido se identifica usted más?"
"p43","43. ¿Por cuál partido NUNCA votaría?"
"p44","44. ¿Hasta qué año estudió usted?"
"p45","45. ¿Cuál es su principal ocupación? ¿A qué se dedica usted?"
"p46a","46a. ¿Usted Tiene teléfono celular?"
"p46b","46b. ¿Usted Tiene teléfono fijo en su hogar?"
"p46c","46c. ¿Usted Tiene acceso a internet desde su celular?"
"p46d","46d. ¿Usted Tiene internet fijo en su hogar?"
"p46e","46e. ¿Usted Utiliza Twitter?"
"p46f","46f. ¿Usted Utiliza Facebook?"
"p46g","46g. ¿Usted Utiliza Whatsapp?"
"p47","47. Sumando todo lo que ganan los integrantes de este hogar, ¿cuánto ganan en total al mes?"
"boleta1","Si hoy hubiera elecciones para Presidente de la República, ¿por quién votaría usted?"
"boleta2","Si hoy hubiera elecciones para Diputados Federales, ¿por cuál partido votaría usted?"
"final","Hora de fin de entrevista"
"dia","DIA "
"escol_x","Escolaridad"
"gedad","Grupos de edad"
"cruce","Grupos de sexo y edad"
"ponde_rake","Raked Weight"
"cve_unica_sec","Clave Única de Identificación de la Sección electoral"
"circ","Circunscripción"
"claveentidad","Clave Entidad"
"entidad","Nombre Entidad"
"clavemun","Clave Municipio"
"municipio","Nombre Municipio"
"distritofederal","Distrito Electoral Federal"
"seccion","Sección Electoral"
"tipo1","Tipo de Sección (3 tipos)"
"tipo2","Tipo de sección (2 tipos)"
"fe_final_","Factor de Expansión Final que considera raking por escolaridad y grupos de sexo y edad; y ajusta eliminando efectos de redondeo"
"p1_recodificada","1. En su opinión, ¿cuál es el principal problema que hay en el País hoy en día?"
"p19_recodificada","19. En los últimos 12 meses, ¿cuántas de las siguientes actividades ha realizado? No necesito que me diga cuáles, únicamente cuántas."
